"country","province","date","actual_cases"
"Taiwan",NA,2020-03-09,45
"Taiwan",NA,2020-03-10,47
"Taiwan",NA,2020-03-11,48
"Taiwan",NA,2020-03-12,49
"Taiwan",NA,2020-03-13,50
"Taiwan",NA,2020-03-14,53
"Taiwan",NA,2020-03-15,59
"Taiwan",NA,2020-03-16,67
"Taiwan",NA,2020-03-17,77
"Taiwan",NA,2020-03-18,100
"Taiwan",NA,2020-03-19,108
"Taiwan",NA,2020-03-20,135
"Taiwan",NA,2020-03-21,153
"Taiwan",NA,2020-03-22,169
"Taiwan",NA,2020-03-23,195
"Taiwan",NA,2020-03-24,215
"Taiwan",NA,2020-03-25,235
"Taiwan",NA,2020-03-26,252
"Taiwan",NA,2020-03-27,267
"Taiwan",NA,2020-03-28,283
"Taiwan",NA,2020-03-29,298
"Taiwan",NA,2020-03-30,306
"Taiwan",NA,2020-03-31,322
"Taiwan",NA,2020-04-01,329
"Taiwan",NA,2020-04-02,339
"Taiwan",NA,2020-04-03,348
"Taiwan",NA,2020-04-04,355
"Taiwan",NA,2020-04-05,363
"Taiwan",NA,2020-04-06,373
"Taiwan",NA,2020-04-07,376
