"country","province","date","actual_cases"
"Afghanistan",NA,2020-01-22,0
"Afghanistan",NA,2020-01-23,0
"Afghanistan",NA,2020-01-24,0
"Afghanistan",NA,2020-01-25,0
"Afghanistan",NA,2020-01-26,0
"Afghanistan",NA,2020-01-27,0
"Afghanistan",NA,2020-01-28,0
"Afghanistan",NA,2020-01-29,0
"Afghanistan",NA,2020-01-30,0
"Afghanistan",NA,2020-01-31,0
"Afghanistan",NA,2020-02-01,0
"Afghanistan",NA,2020-02-02,0
"Afghanistan",NA,2020-02-03,0
"Afghanistan",NA,2020-02-04,0
"Afghanistan",NA,2020-02-05,0
"Afghanistan",NA,2020-02-06,0
"Afghanistan",NA,2020-02-07,0
"Afghanistan",NA,2020-02-08,0
"Afghanistan",NA,2020-02-09,0
"Afghanistan",NA,2020-02-10,0
"Afghanistan",NA,2020-02-11,0
"Afghanistan",NA,2020-02-12,0
"Afghanistan",NA,2020-02-13,0
"Afghanistan",NA,2020-02-14,0
"Afghanistan",NA,2020-02-15,0
"Afghanistan",NA,2020-02-16,0
"Afghanistan",NA,2020-02-17,0
"Afghanistan",NA,2020-02-18,0
"Afghanistan",NA,2020-02-19,0
"Afghanistan",NA,2020-02-20,0
"Afghanistan",NA,2020-02-21,0
"Afghanistan",NA,2020-02-22,0
"Afghanistan",NA,2020-02-23,0
"Afghanistan",NA,2020-02-24,1
"Afghanistan",NA,2020-02-25,1
"Afghanistan",NA,2020-02-26,1
"Afghanistan",NA,2020-02-27,1
"Afghanistan",NA,2020-02-28,1
"Afghanistan",NA,2020-02-29,1
"Afghanistan",NA,2020-03-01,1
"Afghanistan",NA,2020-03-02,1
"Afghanistan",NA,2020-03-03,1
"Afghanistan",NA,2020-03-04,1
"Afghanistan",NA,2020-03-05,1
"Afghanistan",NA,2020-03-06,1
"Afghanistan",NA,2020-03-07,1
"Afghanistan",NA,2020-03-08,4
"Afghanistan",NA,2020-03-09,4
"Afghanistan",NA,2020-03-10,5
"Afghanistan",NA,2020-03-11,7
"Afghanistan",NA,2020-03-12,7
"Afghanistan",NA,2020-03-13,7
"Afghanistan",NA,2020-03-14,11
"Afghanistan",NA,2020-03-15,16
"Afghanistan",NA,2020-03-16,21
"Afghanistan",NA,2020-03-17,22
"Afghanistan",NA,2020-03-18,22
"Afghanistan",NA,2020-03-19,22
"Afghanistan",NA,2020-03-20,24
"Afghanistan",NA,2020-03-21,24
"Afghanistan",NA,2020-03-22,40
"Afghanistan",NA,2020-03-23,40
"Afghanistan",NA,2020-03-24,74
"Afghanistan",NA,2020-03-25,84
"Afghanistan",NA,2020-03-26,94
"Afghanistan",NA,2020-03-27,110
"Afghanistan",NA,2020-03-28,110
"Afghanistan",NA,2020-03-29,120
"Afghanistan",NA,2020-03-30,170
"Afghanistan",NA,2020-03-31,174
"Albania",NA,2020-01-22,0
"Albania",NA,2020-01-23,0
"Albania",NA,2020-01-24,0
"Albania",NA,2020-01-25,0
"Albania",NA,2020-01-26,0
"Albania",NA,2020-01-27,0
"Albania",NA,2020-01-28,0
"Albania",NA,2020-01-29,0
"Albania",NA,2020-01-30,0
"Albania",NA,2020-01-31,0
"Albania",NA,2020-02-01,0
"Albania",NA,2020-02-02,0
"Albania",NA,2020-02-03,0
"Albania",NA,2020-02-04,0
"Albania",NA,2020-02-05,0
"Albania",NA,2020-02-06,0
"Albania",NA,2020-02-07,0
"Albania",NA,2020-02-08,0
"Albania",NA,2020-02-09,0
"Albania",NA,2020-02-10,0
"Albania",NA,2020-02-11,0
"Albania",NA,2020-02-12,0
"Albania",NA,2020-02-13,0
"Albania",NA,2020-02-14,0
"Albania",NA,2020-02-15,0
"Albania",NA,2020-02-16,0
"Albania",NA,2020-02-17,0
"Albania",NA,2020-02-18,0
"Albania",NA,2020-02-19,0
"Albania",NA,2020-02-20,0
"Albania",NA,2020-02-21,0
"Albania",NA,2020-02-22,0
"Albania",NA,2020-02-23,0
"Albania",NA,2020-02-24,0
"Albania",NA,2020-02-25,0
"Albania",NA,2020-02-26,0
"Albania",NA,2020-02-27,0
"Albania",NA,2020-02-28,0
"Albania",NA,2020-02-29,0
"Albania",NA,2020-03-01,0
"Albania",NA,2020-03-02,0
"Albania",NA,2020-03-03,0
"Albania",NA,2020-03-04,0
"Albania",NA,2020-03-05,0
"Albania",NA,2020-03-06,0
"Albania",NA,2020-03-07,0
"Albania",NA,2020-03-08,0
"Albania",NA,2020-03-09,2
"Albania",NA,2020-03-10,10
"Albania",NA,2020-03-11,12
"Albania",NA,2020-03-12,23
"Albania",NA,2020-03-13,33
"Albania",NA,2020-03-14,38
"Albania",NA,2020-03-15,42
"Albania",NA,2020-03-16,51
"Albania",NA,2020-03-17,55
"Albania",NA,2020-03-18,59
"Albania",NA,2020-03-19,64
"Albania",NA,2020-03-20,70
"Albania",NA,2020-03-21,76
"Albania",NA,2020-03-22,89
"Albania",NA,2020-03-23,104
"Albania",NA,2020-03-24,123
"Albania",NA,2020-03-25,146
"Albania",NA,2020-03-26,174
"Albania",NA,2020-03-27,186
"Albania",NA,2020-03-28,197
"Albania",NA,2020-03-29,212
"Albania",NA,2020-03-30,223
"Albania",NA,2020-03-31,243
"Algeria",NA,2020-01-22,0
"Algeria",NA,2020-01-23,0
"Algeria",NA,2020-01-24,0
"Algeria",NA,2020-01-25,0
"Algeria",NA,2020-01-26,0
"Algeria",NA,2020-01-27,0
"Algeria",NA,2020-01-28,0
"Algeria",NA,2020-01-29,0
"Algeria",NA,2020-01-30,0
"Algeria",NA,2020-01-31,0
"Algeria",NA,2020-02-01,0
"Algeria",NA,2020-02-02,0
"Algeria",NA,2020-02-03,0
"Algeria",NA,2020-02-04,0
"Algeria",NA,2020-02-05,0
"Algeria",NA,2020-02-06,0
"Algeria",NA,2020-02-07,0
"Algeria",NA,2020-02-08,0
"Algeria",NA,2020-02-09,0
"Algeria",NA,2020-02-10,0
"Algeria",NA,2020-02-11,0
"Algeria",NA,2020-02-12,0
"Algeria",NA,2020-02-13,0
"Algeria",NA,2020-02-14,0
"Algeria",NA,2020-02-15,0
"Algeria",NA,2020-02-16,0
"Algeria",NA,2020-02-17,0
"Algeria",NA,2020-02-18,0
"Algeria",NA,2020-02-19,0
"Algeria",NA,2020-02-20,0
"Algeria",NA,2020-02-21,0
"Algeria",NA,2020-02-22,0
"Algeria",NA,2020-02-23,0
"Algeria",NA,2020-02-24,0
"Algeria",NA,2020-02-25,1
"Algeria",NA,2020-02-26,1
"Algeria",NA,2020-02-27,1
"Algeria",NA,2020-02-28,1
"Algeria",NA,2020-02-29,1
"Algeria",NA,2020-03-01,1
"Algeria",NA,2020-03-02,3
"Algeria",NA,2020-03-03,5
"Algeria",NA,2020-03-04,12
"Algeria",NA,2020-03-05,12
"Algeria",NA,2020-03-06,17
"Algeria",NA,2020-03-07,17
"Algeria",NA,2020-03-08,19
"Algeria",NA,2020-03-09,20
"Algeria",NA,2020-03-10,20
"Algeria",NA,2020-03-11,20
"Algeria",NA,2020-03-12,24
"Algeria",NA,2020-03-13,26
"Algeria",NA,2020-03-14,37
"Algeria",NA,2020-03-15,48
"Algeria",NA,2020-03-16,54
"Algeria",NA,2020-03-17,60
"Algeria",NA,2020-03-18,74
"Algeria",NA,2020-03-19,87
"Algeria",NA,2020-03-20,90
"Algeria",NA,2020-03-21,139
"Algeria",NA,2020-03-22,201
"Algeria",NA,2020-03-23,230
"Algeria",NA,2020-03-24,264
"Algeria",NA,2020-03-25,302
"Algeria",NA,2020-03-26,367
"Algeria",NA,2020-03-27,409
"Algeria",NA,2020-03-28,454
"Algeria",NA,2020-03-29,511
"Algeria",NA,2020-03-30,584
"Algeria",NA,2020-03-31,716
"Andorra",NA,2020-01-22,0
"Andorra",NA,2020-01-23,0
"Andorra",NA,2020-01-24,0
"Andorra",NA,2020-01-25,0
"Andorra",NA,2020-01-26,0
"Andorra",NA,2020-01-27,0
"Andorra",NA,2020-01-28,0
"Andorra",NA,2020-01-29,0
"Andorra",NA,2020-01-30,0
"Andorra",NA,2020-01-31,0
"Andorra",NA,2020-02-01,0
"Andorra",NA,2020-02-02,0
"Andorra",NA,2020-02-03,0
"Andorra",NA,2020-02-04,0
"Andorra",NA,2020-02-05,0
"Andorra",NA,2020-02-06,0
"Andorra",NA,2020-02-07,0
"Andorra",NA,2020-02-08,0
"Andorra",NA,2020-02-09,0
"Andorra",NA,2020-02-10,0
"Andorra",NA,2020-02-11,0
"Andorra",NA,2020-02-12,0
"Andorra",NA,2020-02-13,0
"Andorra",NA,2020-02-14,0
"Andorra",NA,2020-02-15,0
"Andorra",NA,2020-02-16,0
"Andorra",NA,2020-02-17,0
"Andorra",NA,2020-02-18,0
"Andorra",NA,2020-02-19,0
"Andorra",NA,2020-02-20,0
"Andorra",NA,2020-02-21,0
"Andorra",NA,2020-02-22,0
"Andorra",NA,2020-02-23,0
"Andorra",NA,2020-02-24,0
"Andorra",NA,2020-02-25,0
"Andorra",NA,2020-02-26,0
"Andorra",NA,2020-02-27,0
"Andorra",NA,2020-02-28,0
"Andorra",NA,2020-02-29,0
"Andorra",NA,2020-03-01,0
"Andorra",NA,2020-03-02,1
"Andorra",NA,2020-03-03,1
"Andorra",NA,2020-03-04,1
"Andorra",NA,2020-03-05,1
"Andorra",NA,2020-03-06,1
"Andorra",NA,2020-03-07,1
"Andorra",NA,2020-03-08,1
"Andorra",NA,2020-03-09,1
"Andorra",NA,2020-03-10,1
"Andorra",NA,2020-03-11,1
"Andorra",NA,2020-03-12,1
"Andorra",NA,2020-03-13,1
"Andorra",NA,2020-03-14,1
"Andorra",NA,2020-03-15,1
"Andorra",NA,2020-03-16,2
"Andorra",NA,2020-03-17,39
"Andorra",NA,2020-03-18,39
"Andorra",NA,2020-03-19,53
"Andorra",NA,2020-03-20,75
"Andorra",NA,2020-03-21,88
"Andorra",NA,2020-03-22,113
"Andorra",NA,2020-03-23,133
"Andorra",NA,2020-03-24,164
"Andorra",NA,2020-03-25,188
"Andorra",NA,2020-03-26,224
"Andorra",NA,2020-03-27,267
"Andorra",NA,2020-03-28,308
"Andorra",NA,2020-03-29,334
"Andorra",NA,2020-03-30,370
"Andorra",NA,2020-03-31,376
"Angola",NA,2020-01-22,0
"Angola",NA,2020-01-23,0
"Angola",NA,2020-01-24,0
"Angola",NA,2020-01-25,0
"Angola",NA,2020-01-26,0
"Angola",NA,2020-01-27,0
"Angola",NA,2020-01-28,0
"Angola",NA,2020-01-29,0
"Angola",NA,2020-01-30,0
"Angola",NA,2020-01-31,0
"Angola",NA,2020-02-01,0
"Angola",NA,2020-02-02,0
"Angola",NA,2020-02-03,0
"Angola",NA,2020-02-04,0
"Angola",NA,2020-02-05,0
"Angola",NA,2020-02-06,0
"Angola",NA,2020-02-07,0
"Angola",NA,2020-02-08,0
"Angola",NA,2020-02-09,0
"Angola",NA,2020-02-10,0
"Angola",NA,2020-02-11,0
"Angola",NA,2020-02-12,0
"Angola",NA,2020-02-13,0
"Angola",NA,2020-02-14,0
"Angola",NA,2020-02-15,0
"Angola",NA,2020-02-16,0
"Angola",NA,2020-02-17,0
"Angola",NA,2020-02-18,0
"Angola",NA,2020-02-19,0
"Angola",NA,2020-02-20,0
"Angola",NA,2020-02-21,0
"Angola",NA,2020-02-22,0
"Angola",NA,2020-02-23,0
"Angola",NA,2020-02-24,0
"Angola",NA,2020-02-25,0
"Angola",NA,2020-02-26,0
"Angola",NA,2020-02-27,0
"Angola",NA,2020-02-28,0
"Angola",NA,2020-02-29,0
"Angola",NA,2020-03-01,0
"Angola",NA,2020-03-02,0
"Angola",NA,2020-03-03,0
"Angola",NA,2020-03-04,0
"Angola",NA,2020-03-05,0
"Angola",NA,2020-03-06,0
"Angola",NA,2020-03-07,0
"Angola",NA,2020-03-08,0
"Angola",NA,2020-03-09,0
"Angola",NA,2020-03-10,0
"Angola",NA,2020-03-11,0
"Angola",NA,2020-03-12,0
"Angola",NA,2020-03-13,0
"Angola",NA,2020-03-14,0
"Angola",NA,2020-03-15,0
"Angola",NA,2020-03-16,0
"Angola",NA,2020-03-17,0
"Angola",NA,2020-03-18,0
"Angola",NA,2020-03-19,0
"Angola",NA,2020-03-20,1
"Angola",NA,2020-03-21,2
"Angola",NA,2020-03-22,2
"Angola",NA,2020-03-23,3
"Angola",NA,2020-03-24,3
"Angola",NA,2020-03-25,3
"Angola",NA,2020-03-26,4
"Angola",NA,2020-03-27,4
"Angola",NA,2020-03-28,5
"Angola",NA,2020-03-29,7
"Angola",NA,2020-03-30,7
"Angola",NA,2020-03-31,7
"Antigua and Barbuda",NA,2020-01-22,0
"Antigua and Barbuda",NA,2020-01-23,0
"Antigua and Barbuda",NA,2020-01-24,0
"Antigua and Barbuda",NA,2020-01-25,0
"Antigua and Barbuda",NA,2020-01-26,0
"Antigua and Barbuda",NA,2020-01-27,0
"Antigua and Barbuda",NA,2020-01-28,0
"Antigua and Barbuda",NA,2020-01-29,0
"Antigua and Barbuda",NA,2020-01-30,0
"Antigua and Barbuda",NA,2020-01-31,0
"Antigua and Barbuda",NA,2020-02-01,0
"Antigua and Barbuda",NA,2020-02-02,0
"Antigua and Barbuda",NA,2020-02-03,0
"Antigua and Barbuda",NA,2020-02-04,0
"Antigua and Barbuda",NA,2020-02-05,0
"Antigua and Barbuda",NA,2020-02-06,0
"Antigua and Barbuda",NA,2020-02-07,0
"Antigua and Barbuda",NA,2020-02-08,0
"Antigua and Barbuda",NA,2020-02-09,0
"Antigua and Barbuda",NA,2020-02-10,0
"Antigua and Barbuda",NA,2020-02-11,0
"Antigua and Barbuda",NA,2020-02-12,0
"Antigua and Barbuda",NA,2020-02-13,0
"Antigua and Barbuda",NA,2020-02-14,0
"Antigua and Barbuda",NA,2020-02-15,0
"Antigua and Barbuda",NA,2020-02-16,0
"Antigua and Barbuda",NA,2020-02-17,0
"Antigua and Barbuda",NA,2020-02-18,0
"Antigua and Barbuda",NA,2020-02-19,0
"Antigua and Barbuda",NA,2020-02-20,0
"Antigua and Barbuda",NA,2020-02-21,0
"Antigua and Barbuda",NA,2020-02-22,0
"Antigua and Barbuda",NA,2020-02-23,0
"Antigua and Barbuda",NA,2020-02-24,0
