"county","date","actual_cases"
"台北市","2020-01-20",0
"台中市","2020-01-20",0
"台南市","2020-01-20",0
"高雄市","2020-01-20",0
"基隆市","2020-01-20",0
"新竹市","2020-01-20",0
"嘉義市","2020-01-20",0
"新北市","2020-01-20",0
"桃園市","2020-01-20",0
"新竹縣","2020-01-20",0
"宜蘭縣","2020-01-20",0
"苗栗縣","2020-01-20",0
"彰化縣","2020-01-20",0
"南投縣","2020-01-20",0
"雲林縣","2020-01-20",0
"嘉義縣","2020-01-20",0
"屏東縣","2020-01-20",0
"澎湖縣","2020-01-20",0
"花蓮縣","2020-01-20",0
"台東縣","2020-01-20",0
"金門縣","2020-01-20",0
"連江縣","2020-01-20",0
"台北市","2020-01-21",0
"台中市","2020-01-21",0
"台南市","2020-01-21",0
"高雄市","2020-01-21",1
"基隆市","2020-01-21",0
"新竹市","2020-01-21",0
"嘉義市","2020-01-21",0
"新北市","2020-01-21",0
"桃園市","2020-01-21",0
"新竹縣","2020-01-21",0
"宜蘭縣","2020-01-21",0
"苗栗縣","2020-01-21",0
"彰化縣","2020-01-21",0
"南投縣","2020-01-21",0
"雲林縣","2020-01-21",0
"嘉義縣","2020-01-21",0
"屏東縣","2020-01-21",0
"澎湖縣","2020-01-21",0
"花蓮縣","2020-01-21",0
"台東縣","2020-01-21",0
"金門縣","2020-01-21",0
"連江縣","2020-01-21",0
"台北市","2020-01-22",0
"台中市","2020-01-22",0
"台南市","2020-01-22",0
"高雄市","2020-01-22",1
"基隆市","2020-01-22",0
"新竹市","2020-01-22",0
"嘉義市","2020-01-22",0
"新北市","2020-01-22",0
"桃園市","2020-01-22",0
"新竹縣","2020-01-22",0
"宜蘭縣","2020-01-22",0
"苗栗縣","2020-01-22",0
"彰化縣","2020-01-22",0
"南投縣","2020-01-22",0
"雲林縣","2020-01-22",0
"嘉義縣","2020-01-22",0
"屏東縣","2020-01-22",0
"澎湖縣","2020-01-22",0
"花蓮縣","2020-01-22",0
"台東縣","2020-01-22",0
"金門縣","2020-01-22",0
"連江縣","2020-01-22",0
"台北市","2020-01-23",0
"台中市","2020-01-23",0
"台南市","2020-01-23",0
"高雄市","2020-01-23",1
"基隆市","2020-01-23",0
"新竹市","2020-01-23",0
"嘉義市","2020-01-23",0
"新北市","2020-01-23",0
"桃園市","2020-01-23",0
"新竹縣","2020-01-23",0
"宜蘭縣","2020-01-23",0
"苗栗縣","2020-01-23",0
"彰化縣","2020-01-23",0
"南投縣","2020-01-23",0
"雲林縣","2020-01-23",0
"嘉義縣","2020-01-23",0
"屏東縣","2020-01-23",0
"澎湖縣","2020-01-23",0
"花蓮縣","2020-01-23",0
"台東縣","2020-01-23",0
"金門縣","2020-01-23",0
"連江縣","2020-01-23",0
"台北市","2020-01-24",1
"台中市","2020-01-24",0
"台南市","2020-01-24",0
"高雄市","2020-01-24",2
"基隆市","2020-01-24",0
"新竹市","2020-01-24",0
"嘉義市","2020-01-24",0
"新北市","2020-01-24",0
"桃園市","2020-01-24",0
"新竹縣","2020-01-24",0
"宜蘭縣","2020-01-24",0
"苗栗縣","2020-01-24",0
"彰化縣","2020-01-24",0
"南投縣","2020-01-24",0
"雲林縣","2020-01-24",0
"嘉義縣","2020-01-24",0
"屏東縣","2020-01-24",0
"澎湖縣","2020-01-24",0
"花蓮縣","2020-01-24",0
"台東縣","2020-01-24",0
"金門縣","2020-01-24",0
"連江縣","2020-01-24",0
"台北市","2020-01-25",1
"台中市","2020-01-25",0
"台南市","2020-01-25",0
"高雄市","2020-01-25",2
"基隆市","2020-01-25",0
"新竹市","2020-01-25",0
"嘉義市","2020-01-25",0
"新北市","2020-01-25",0
"桃園市","2020-01-25",0
"新竹縣","2020-01-25",0
"宜蘭縣","2020-01-25",0
"苗栗縣","2020-01-25",0
"彰化縣","2020-01-25",0
"南投縣","2020-01-25",0
"雲林縣","2020-01-25",0
"嘉義縣","2020-01-25",0
"屏東縣","2020-01-25",0
"澎湖縣","2020-01-25",0
"花蓮縣","2020-01-25",0
"台東縣","2020-01-25",0
"金門縣","2020-01-25",0
"連江縣","2020-01-25",0
"台北市","2020-01-26",2
"台中市","2020-01-26",0
"台南市","2020-01-26",0
"高雄市","2020-01-26",2
"基隆市","2020-01-26",0
"新竹市","2020-01-26",0
"嘉義市","2020-01-26",0
"新北市","2020-01-26",0
"桃園市","2020-01-26",0
"新竹縣","2020-01-26",0
"宜蘭縣","2020-01-26",0
"苗栗縣","2020-01-26",0
"彰化縣","2020-01-26",0
"南投縣","2020-01-26",0
"雲林縣","2020-01-26",0
"嘉義縣","2020-01-26",0
"屏東縣","2020-01-26",0
"澎湖縣","2020-01-26",0
"花蓮縣","2020-01-26",0
"台東縣","2020-01-26",0
"金門縣","2020-01-26",0
"連江縣","2020-01-26",0
"台北市","2020-01-27",2
"台中市","2020-01-27",0
"台南市","2020-01-27",0
"高雄市","2020-01-27",2
"基隆市","2020-01-27",0
"新竹市","2020-01-27",0
"嘉義市","2020-01-27",0
"新北市","2020-01-27",0
"桃園市","2020-01-27",0
"新竹縣","2020-01-27",0
"宜蘭縣","2020-01-27",0
"苗栗縣","2020-01-27",0
"彰化縣","2020-01-27",1
"南投縣","2020-01-27",0
"雲林縣","2020-01-27",0
"嘉義縣","2020-01-27",0
"屏東縣","2020-01-27",0
"澎湖縣","2020-01-27",0
"花蓮縣","2020-01-27",0
"台東縣","2020-01-27",0
"金門縣","2020-01-27",0
"連江縣","2020-01-27",0
"台北市","2020-01-31",2
"台中市","2020-01-31",2
"台南市","2020-01-31",0
"高雄市","2020-01-31",2
"基隆市","2020-01-31",0
"新竹市","2020-01-31",0
"嘉義市","2020-01-31",0
"新北市","2020-01-31",0
"桃園市","2020-01-31",0
"新竹縣","2020-01-31",0
"宜蘭縣","2020-01-31",0
"苗栗縣","2020-01-31",0
"彰化縣","2020-01-31",2
"南投縣","2020-01-31",2
"雲林縣","2020-01-31",0
"嘉義縣","2020-01-31",0
"屏東縣","2020-01-31",0
"澎湖縣","2020-01-31",0
"花蓮縣","2020-01-31",0
"台東縣","2020-01-31",0
