"country","B"
"Afghanistan",8
"Albania",6
"Algeria",11
"Andorra",14
"Angola",12
"Antigua and Barbuda",2
"Argentina",11
"Armenia",18
"Australia",13
"Austria",7
"Azerbaijan",11
"Bahamas",2
"Bahrain",4
"Bangladesh",4
"Barbados",10
"Belarus",2
"Belgium",17
"Benin",2
"Bhutan",6
"Bolivia",13
"Bosnia",18
"Brazil",14
"Brunei",10
"Bulgaria",16
"Burkina Faso",11
"Cabo Verde",6
"Cambodia",8
"Cameroon",17
"Canada",14
"Central African Republic",2
"Chad",2
"Chile",16
"China",13
"Colombia",22
"Congo",2
"Congo (Kinshasa)",9
"Costa Rica",13
"Côte d'Ivoire",14
"Croatia",15
"Diamond Princess",2
"Cuba",23
"Cyprus",21
"Czechia",14
"Denmark",15
"Djibouti",34
"Dominican Republic",18
"Ecuador",12
"Egypt",16
"El Salvador",11
"Equatorial Guinea",2
"Eritrea",14
"Estonia",5
"Swaziland",5
"Ethiopia",7
"Fiji",2
"Finland",18
"France",14
"Gabon",2
"Gambia",2
"Georgia",15
"Germany",13
"Ghana",2
"Greece",19
"Guatemala",10
"Guinea",11
"Guyana",2
"Haiti",2
"Holy See",2
"Honduras",17
"Hungary",21
"Iceland",14
"India",9
"Indonesia",15
"Iran",16
"Iraq",14
"Ireland",14
"Israel",21
"Italy",13
"Jamaica",7
"Japan",23
"Jordan",6
"Kazakhstan",22
"Kenya",14
"S. Korea",16
"Kuwait",15
"Kyrgyzstan",10
"Latvia",17
"Lebanon",10
"Liberia",2
"Liechtenstein",2
"Lithuania",13
"Luxembourg",15
"Madagascar",15
"Malaysia",9
"Maldives",2
"Malta",12
"Mauritania",8
"Mauritius",4
"Mexico",20
"Moldova, Republic of",15
"Monaco",3
"Mongolia",5
"Montenegro",5
"Morocco",18
"Namibia",9
"Nepal",7
"Netherlands",15
"New Zealand",14
"Nicaragua",2
"Niger",10
"Nigeria",14
"Macedonia",17
"Norway",13
"Oman",14
"Pakistan",12
"Panama",14
"Papua New Guinea",2
"Paraguay",6
"Peru",11
"Philippines",32
"Poland",17
"Portugal",20
"Qatar",29
"Romania",19
"Russia",17
"Rwanda",10
"Saint Lucia",2
"Saint Vincent and the Grenadines",2
"San Marino",2
"Saudi Arabia",17
"Senegal",13
"Serbia",15
"Seychelles",2
"Singapore",18
"Slovakia",11
"Slovenia",13
"Somalia",5
"South Africa",7
"Spain",16
"Sri Lanka",11
"Sudan",7
"Suriname",2
"Sweden",13
"Switzerland",15
"Taiwan*",17
"Tanzania, United Republic of",5
"Thailand",15
"Togo",2
"Trinidad and Tobago",11
"Tunisia",17
"Turkey",17
"Uganda",8
"Ukraine",15
"UAE",16
"UK",15
"Uruguay",15
"USA",15
"Uzbekistan",21
"Venezuela, Bolivarian Republic of",4
"Vietnam",14
"Zambia",10
"Zimbabwe",7
"Dominica",2
"Grenada",2
"Mozambique",3
"Syrian Arab Republic",2
"Timor-Leste",2
"Belize",2
"Lao People's Democratic Republic",3
"Libyan Arab Jamahiriya",35
"West Bank and Gaza",5
"Guinea-Bissau",2
"Mali",12
"Saint Kitts and Nevis",2
"Kosovo",2
"Burma",2
"MS Zaandam",2
