"county","actual_cases","date"
"台北市",83,"2020-03-29"
"台中市",32,"2020-03-29"
"台南市",12,"2020-03-29"
"高雄市",24,"2020-03-29"
"基隆市",3,"2020-03-29"
"新竹市",6,"2020-03-29"
"嘉義市",3,"2020-03-29"
"新北市",70,"2020-03-29"
"桃園市",30,"2020-03-29"
"新竹縣",4,"2020-03-29"
"宜蘭縣",2,"2020-03-29"
"苗栗縣",3,"2020-03-29"
"彰化縣",14,"2020-03-29"
"南投縣",2,"2020-03-29"
"雲林縣",4,"2020-03-29"
"嘉義縣",0,"2020-03-29"
"屏東縣",6,"2020-03-29"
"澎湖縣",0,"2020-03-29"
"花蓮縣",0,"2020-03-29"
"台東縣",0,"2020-03-29"
"金門縣",0,"2020-03-29"
"連江縣",0,"2020-03-29"
