"county","actual_cases","date"
"台北市",107,"2020-04-06"
"台中市",37,"2020-04-06"
"台南市",14,"2020-04-06"
"高雄市",27,"2020-04-06"
"基隆市",6,"2020-04-06"
"新竹市",11,"2020-04-06"
"嘉義市",3,"2020-04-06"
"新北市",85,"2020-04-06"
"桃園市",39,"2020-04-06"
"新竹縣",6,"2020-04-06"
"宜蘭縣",2,"2020-04-06"
"苗栗縣",3,"2020-04-06"
"彰化縣",18,"2020-04-06"
"南投縣",2,"2020-04-06"
"雲林縣",4,"2020-04-06"
"嘉義縣",2,"2020-04-06"
"屏東縣",7,"2020-04-06"
"澎湖縣",0,"2020-04-06"
"花蓮縣",0,"2020-04-06"
"台東縣",0,"2020-04-06"
"金門縣",0,"2020-04-06"
"連江縣",0,"2020-04-06"
